147,1.6 TS Progression,2007,200000,Kýrmýzý,234500,Ankara Keçiören
Giulietta,1.6 JTD Super TCT,2018,90000,Beyaz,689750,Ýstanbul Ataþehir
Giulietta,1.6 JTD Super TCT,2016,190000,Kýrmýzý,605000,Antalya Kemer
Giulietta,1.6 JTD Distinctive,2014,149000,Kýrmýzý,482000,Antalya Muratpaþa
Giulietta,1.4 TB MultiAir Distinctive,2012,88000,Kýrmýzý,565000,Antalya Muratpaþa
156,2.0 TS Distinctive,2002,245000,Beyaz,230000,Ýstanbul Esenyurt
Giulietta,1.6 JTD Super TCT,2018,157000,Füme,588000,Antalya Aksu
145,1.6,1997,307000,Siyah,110000,Antalya Konyaaltý
156,1.6 TS Distinctive,2004,259000,Siyah,270000,Bursa Mustafakemalpaþa
Giulietta,1.6 JTD Giulietta,2021,8500,Mor,890000,Ýstanbul Kaðýthane
Giulietta,1.4 TB MultiAir Distinctive,2012,149505,Beyaz,440000,Ýstanbul Tuzla
Giulietta,1.6 JTD Super TCT,2018,180000,Füme,575000,Ýstanbul Maltepe
156,1.6 TS Distinctive,2000,236000,Gümüþ Gri,185000,Balýkesir Bandýrma
Giulietta,1.6 JTD Distinctive,2012,256400,Beyaz,377500,Karaman Merkez
147,1.6 TS Distinctive,2006,208500,Siyah,297500,Ýzmir Buca
156,1.6 TS,1998,232000,Beyaz,158000,Bursa Gemlik
Giulietta,1.4 TB MultiAir Distinctive,2012,280000,Beyaz,475000,Malatya Yeþilyurt
Giulietta,1.6 JTD Distinctive,2012,145000,Siyah,414000,Kocaeli Gölcük
156,1.6 TS Distinctive,2004,203000,Turkuaz,279000,Ankara Keçiören
156,1.6 TS Progression,2004,286000,Gri,279900,Ýstanbul Baðcýlar
146,1.4 TS,1998,301000,Siyah,125000,Bursa Nilüfer
147,1.6 TS Distinctive,2004,242000,Mavi,230000,Ýzmir Menemen
Giulietta,1.6 JTD Distinctive,2015,113000,Kýrmýzý,589000,Tekirdað Çerkezköy
146,1.6 L,1997,196500,Gümüþ Gri,135000,Bursa Ýnegöl
166,2.0 TS,1998,222000,Gri,215000,Ýstanbul Maltepe
156,2.0 TS,1999,290000,Bordo,140000,Tokat Baþçiftlik
145,1.7,1996,208000,Gri,139000,Ýzmir Torbalý
159,1.9 JTD Distinctive Plus,2010,158000,Mavi,440000,Ýstanbul Eyüpsultan
Giulietta,1.4 TB MultiAir Distinctive,2011,168000,Siyah,480000,Antalya Kepez
147,1.6 TS Distinctive,2006,315250,Þampanya,255000,Ankara Yenimahalle
GT,2.0 JTS Distinctive,2006,171600,Siyah,320000,Ýstanbul Maltepe
159,1.9 JTD Distinctive,2007,286000,Gri,380000,Adana Sarýçam
Giulietta,1.4 TB MultiAir Distinctive,2015,155100,Beyaz,590000,Muðla Milas
159,1.9 JTD Distinctive,2006,338000,Siyah,305000,Ýstanbul Tuzla
Spider,2.0 TS,1996,190000,Gümüþ Gri,545000,Antalya Konyaaltý
147,1.6 TS Distinctive,2004,180000,Gri,200000,Ýstanbul Esenler
Giulietta,1.4 TB Progression Plus,2012,78500,Kýrmýzý,500000,Ýstanbul Maltepe
Giulietta,1.6 JTD Distinctive,2013,210000,Kýrmýzý,386900,Ýstanbul Baðcýlar
156,1.6 TS,1999,269000,Gümüþ Gri,156750,Ýstanbul Baðcýlar
