147,1.6 TS Progression,2007,200000,Kırmızı,234500,Ankara Keçiören
Giulietta,1.6 JTD Super TCT,2018,90000,Beyaz,689750,İstanbul Ataşehir
Giulietta,1.6 JTD Super TCT,2016,190000,Kırmızı,605000,Antalya Kemer
Giulietta,1.6 JTD Distinctive,2014,149000,Kırmızı,482000,Antalya Muratpaşa
Giulietta,1.4 TB MultiAir Distinctive,2012,88000,Kırmızı,565000,Antalya Muratpaşa
156,2.0 TS Distinctive,2002,245000,Beyaz,230000,İstanbul Esenyurt
Giulietta,1.6 JTD Super TCT,2018,157000,Füme,588000,Antalya Aksu
145,1.6,1997,307000,Siyah,110000,Antalya Konyaaltı
156,1.6 TS Distinctive,2004,259000,Siyah,270000,Bursa Mustafakemalpaşa
Giulietta,1.6 JTD Giulietta,2021,8500,Mor,890000,İstanbul Kağıthane
Giulietta,1.4 TB MultiAir Distinctive,2012,149505,Beyaz,440000,İstanbul Tuzla
Giulietta,1.6 JTD Super TCT,2018,180000,Füme,575000,İstanbul Maltepe
156,1.6 TS Distinctive,2000,236000,Gümüş Gri,185000,Balıkesir Bandırma
Giulietta,1.6 JTD Distinctive,2012,256400,Beyaz,377500,Karaman Merkez
147,1.6 TS Distinctive,2006,208500,Siyah,297500,İzmir Buca
156,1.6 TS,1998,232000,Beyaz,158000,Bursa Gemlik
Giulietta,1.4 TB MultiAir Distinctive,2012,280000,Beyaz,475000,Malatya Yeşilyurt
Giulietta,1.6 JTD Distinctive,2012,145000,Siyah,414000,Kocaeli Gölcük
156,1.6 TS Distinctive,2004,203000,Turkuaz,279000,Ankara Keçiören
156,1.6 TS Progression,2004,286000,Gri,279900,İstanbul Bağcılar
146,1.4 TS,1998,301000,Siyah,125000,Bursa Nilüfer
147,1.6 TS Distinctive,2004,242000,Mavi,230000,İzmir Menemen
Giulietta,1.6 JTD Distinctive,2015,113000,Kırmızı,589000,Tekirdağ Çerkezköy
146,1.6 L,1997,196500,Gümüş Gri,135000,Bursa İnegöl
166,2.0 TS,1998,222000,Gri,215000,İstanbul Maltepe
156,2.0 TS,1999,290000,Bordo,140000,Tokat Başçiftlik
145,1.7,1996,208000,Gri,139000,İzmir Torbalı
159,1.9 JTD Distinctive Plus,2010,158000,Mavi,440000,İstanbul Eyüpsultan
Giulietta,1.4 TB MultiAir Distinctive,2011,168000,Siyah,480000,Antalya Kepez
147,1.6 TS Distinctive,2006,315250,Şampanya,255000,Ankara Yenimahalle
GT,2.0 JTS Distinctive,2006,171600,Siyah,320000,İstanbul Maltepe
159,1.9 JTD Distinctive,2007,286000,Gri,380000,Adana Sarıçam
Giulietta,1.4 TB MultiAir Distinctive,2015,155100,Beyaz,590000,Muğla Milas
159,1.9 JTD Distinctive,2006,338000,Siyah,305000,İstanbul Tuzla
Spider,2.0 TS,1996,190000,Gümüş Gri,545000,Antalya Konyaaltı
147,1.6 TS Distinctive,2004,180000,Gri,200000,İstanbul Esenler
Giulietta,1.4 TB Progression Plus,2012,78500,Kırmızı,500000,İstanbul Maltepe
Giulietta,1.6 JTD Distinctive,2013,210000,Kırmızı,386900,İstanbul Bağcılar
156,1.6 TS,1999,269000,Gümüş Gri,156750,İstanbul Bağcılar
147,1.6 TS Distinctive,2004,302000,Siyah,205000,İstanbul Maltepe
Giulietta,1.6 JTD Progression Plus,2015,128000,Beyaz,518500,İstanbul Kağıthane
MiTo,1.4 T MultiAir TCT,2012,112000,Kırmızı,469000,İstanbul Esenyurt
166,3.0 Sportronic,2004,190000,Siyah,365000,İstanbul Kartal
Giulietta,1.6 JTD Sprint,2020,38900,Gümüş Gri,820000,Antalya Muratpaşa
Sprint,1.7,1988,37000,Kırmızı,1050000,Ankara Gölbaşı
Giulietta,1.6 JTD Distinctive,2014,135000,Gri,557000,Ankara Çankaya
147,1.6 TS Progression,2006,219000,Bordo,210000,Ankara Çankaya
156,1.6 TS Distinctive,2004,258000,Gümüş Gri,240000,Antalya Manavgat
Giulietta,1.6 JTD Distinctive,2012,148000,Kırmızı,424000,Kocaeli Darıca
Giulietta,1.6 JTD Sprint,2020,41000,Kırmızı,895000,İstanbul Kadıköy
