model,version,year,km,color,price,location
Giulietta,1.6 JTD Distinctive,2014,149000,Kırmızı,489000,Antalya Muratpaşa
Giulietta,1.4 TB MultiAir Distinctive,2015,89000,Beyaz,665900,Antalya Muratpaşa
Giulietta,1.4 TB MultiAir Distinctive,2012,137000,Kırmızı,516000,Sivas Merkez
Giulietta,1.4 TB MultiAir Distinctive,2015,259000,Siyah,559850,İstanbul Maltepe
Giulietta,1.6 JTD Distinctive,2012,170000,Beyaz,422000,Çankırı Merkez
Giulietta,1.4 TB MultiAir Progression Pluse,2012,83000,Beyaz,540000,İstanbul Sarıyer
Giulietta,1.6 JTD Distinctive,2011,247000,Beyaz,422500,Bursa Osmangazi
Giulietta,1.4 TB MultiAir Distinctive,2012,115000,Beyaz,628000,Eskişehir Tepebaşı
146,1.6 TS,1997,22000,Siyah,142000,İzmir Buca
Giulietta,1.6 JTD Distinctive,2011,168000,Beyaz,520000,Ankara Etimesgut
Giulietta,1.4 TB Distinctive,2011,193000,Siyah,455000,İstanbul Kartal
156,2.0 JTS  Distinctive,2004,198000,Füme,285000,Bursa Mustafakemalpaşa
145,1.7,1996,182000,Gümüş Gri,115000,İstanbul Ataşehir
159,1.9 JTD Distinctive Plus,2011,311000,Siyah,375000,Antalya Konyaaltı
Giulietta,1.4 TB MultiAir Distinctive,2012,94000,Beyaz,549000,Konya Karatay
147,1.6 TS Black Line,2007,320000,Siyah,195000,Kocaeli Gebze
Giulietta,1.6 JTD Progression Plus,2011,230000,Beyaz,395000,İstanbul Eyüpsultan
Giulietta,1.6 JTD Distinctive,2012,212000,Kırmızı,415000,Antalya Kepez
159,1.9 JTD Distinctive,2008,259000,Lacivert,400000,İstanbul Sancaktepe
Giulietta,1.4 TB Distinctive,2011,144000,Kırmızı,545000,Antalya Konyaaltı
Giulietta,1.4 TB MultiAir Distinctive,2012,160000,Gri,550000,İstanbul Kartal
147,1.6 TS Distinctive,2004,257000,Siyah,225750,İstanbul Bağcılar
Giulietta,1.4 TB MultiAir Distinctive,2013,153000,Füme,570000,Bursa Nilüfer
156,1.6 TS,2001,317000,Lacivert,240000,İzmir Gaziemir
146,1.4 TS,1998,108000,Gri,135000,Erzurum Yakutiye
159,1.9 JTD Distinctive Plus,2007,305000,Siyah,415000,İstanbul Maltepe
Giulietta,1.6 JTD Distinctive,2014,139800,Beyaz,565000,Ankara Etimesgut
159,1.9 JTD Distinctive Plus,2008,202000,Siyah,410000,Uşak Merkez
147,1.6 TS Collezione,2008,191000,Siyah,345000,İzmir Buca
159,1.9 JTD Distinctive Plus,2008,213800,Siyah,425000,Ordu Altınordu
GTV,2.0 TB,1997,200000,Gümüş Gri,500000,İstanbul Arnavutköy
156,1.6 TS Distinctive,2005,262000,Siyah,247900,Ankara Keçiören
Giulietta,1.6 JTD Super TCT,2016,105500,Gri,733000,Zonguldak Ereğli
147,1.6 TS Distinctive,2004,250000,Siyah,160000,Isparta Merkez
Giulietta,1.6 JTD Distinctive,2014,156000,Siyah,535000,İstanbul Esenyurt
Giulietta,1.6 JTD Super TCT,2017,82000,Kırmızı,725000,İstanbul Ataşehir
159,1.9 JTD Distinctive Plus,2011,185000,Beyaz,513500,Ankara Yenimahalle
Giulietta,1.4 TB MultiAir Distinctive,2012,156000,Beyaz,450000,İstanbul Sarıyer
146,1.4 TS,1997,259000,Beyaz,140000,Zonguldak Ereğli
147,1.6 TS Distinctive,2005,265000,Gri,162000,İstanbul Esenyurt
Giulietta,1.6 JTD Distinctive,2013,142000,Beyaz,470000,İstanbul Tuzla
147,1.6 TS Progression,2003,274000,Mavi,205000,Antalya Muratpaşa
146,1.6 L,1996,214000,Kırmızı,96000,Ankara Sincan
Giulietta,1.4 TB MultiAir Distinctive,2012,57000,Beyaz,575000,Mersin Yenişehir
156,1.6 TS Progression,2004,239000,Şampanya,245000,Ankara Etimesgut
156,1.6 TS,2001,356300,Kırmızı,145000,Antalya Kepez
147,1.6 TS Progression,2009,39000,Siyah,355000,Antalya Muratpaşa
Giulietta,1.6 JTD Distinctive,2011,111000,Beyaz,475000,Ankara Çankaya
156,2.0 TS Executive,2002,347000,Beyaz,172500,Bolu Merkez
156,1.6 TS Distinctive,2004,231375,Gri,240000,İzmir Karşıyaka
156,1.6 TS Distinctive,2004,240000,Lacivert,229000,İstanbul Bağcılar
147,1.6 TS Distinctive,2003,170000,Gri,175000,Konya Sarayönü
Giulietta,1.6 JTD Super TCT,2017,155000,Beyaz,593500,Antalya Gazipaşa
159,1.9 JTD Distinctive Plus,2008,209000,Şampanya,575000,İstanbul Üsküdar
Giulietta,1.6 JTD Distinctive,2011,179000,Kırmızı,493500,Sinop Boyabat
Giulietta,1.4 TB MultiAir Distinctive,2013,10729,Kırmızı,689950,İstanbul Sancaktepe
Giulietta,1.4 TB MultiAir Distinctive,2014,68000,Gri,740000,Ankara Çankaya
Giulietta,1.4 TB MultiAir Distinctive,2012,165000,Beyaz,477500,İstanbul Bağcılar
156,1.6 TS Distinctive,2004,256000,Kırmızı,267500,Ordu Altınordu
147,1.6 TS Progression,2004,250000,Kırmızı,199000,İstanbul Bağcılar
147,1.6 TS Distinctive,2004,260000,Mavi,220000,Antalya Alanya
Giulietta,1.6 JTD Progression Plus,2014,128000,Beyaz,485000,İzmir Menderes
Giulietta,1.6 JTD Progression Plus,2014,224000,Beyaz,482000,Ankara Pursaklar
156,1.6 TS Distinctive,2004,250000,Mavi,215000,İstanbul Bayrampaşa
156,2.0 TS Distinctive,2001,280000,Gümüş Gri,180000,Mardin Artuklu
MiTo,1.4 T MultiAir TCT Sportivo,2011,131000,Beyaz,515000,Malatya Yeşilyurt
Giulietta,1.6 JTD Distinctive,2014,261000,Füme,415000,Muğla Menteşe
156,1.6 TS Distinctive,2006,205000,Siyah,290000,Ankara Çankaya
Giulietta,1.4 TB MultiAir Distinctive,2015,108000,Gri,700000,İstanbul Sarıyer
156,2.0 TS,2001,280000,Kırmızı,232000,İstanbul Bağcılar
156,1.6 TS Distinctive,2004,209700,Mavi,255000,Eskişehir Odunpazarı
MiTo,1.3 JTD City,2012,179000,Kırmızı,410000,İstanbul Tuzla
Giulietta,1.6 JTD Distinctive,2012,204000,Beyaz,427000,Hatay Arsuz
MiTo,1.3 JTD City,2013,171000,Beyaz,365000,İstanbul Pendik
Giulietta,1.6 JTD Distinctive,2015,141000,Beyaz,540000,Balıkesir Altıeylül
156,1.6 TS Distinctive,2004,300000,Kırmızı,257000,Denizli Merkezefendi
Giulietta,1.6 JTD Super TCT,2017,98000,Gümüş Gri,730000,İstanbul Sultangazi
156,2.0 TS Distinctive,2002,237000,Kırmızı,235000,Muğla Bodrum
Giulietta,1.6 JTD Super TCT,2018,70500,Beyaz,670000,Eskişehir Odunpazarı
Giulietta,1.6 JTD Distinctive,2013,277000,Siyah,388000,İstanbul Pendik
159,1.9 JTD Distinctive,2007,198200,Siyah,330000,Ankara Keçiören
159,1.9 JTD Distinctive,2007,297000,Siyah,395000,Malatya Yeşilyurt
146,1.4 TS,1999,221000,Kırmızı,131000,İstanbul Üsküdar
156,1.6 TS,2000,30000,Kırmızı,142000,Sivas Merkez
159,1.9 JTD Distinctive,2006,338000,Siyah,305000,İstanbul Tuzla
159,1.9 JTD Distinctive Plus,2007,415000,Siyah,325000,Konya Selçuklu
Giulietta,1.4 TB MultiAir Distinctive,2011,118000,Siyah,600000,İstanbul Esenler
146,1.4 TS,1998,230000,Siyah,103750,İzmir Bergama
147,1.6 TS Progression,2004,172000,Siyah,205000,Şanlıurfa Haliliye
147,1.6 TS Progression,2004,172000,Siyah,205000,Şanlıurfa Haliliye
Giulietta,1.6 JTD Sprint,2020,34000,Gri,915000,İstanbul Bahçelievler
147,1.6 TS Distinctive,2003,185000,Gri,245000,İstanbul Beykoz
